rule_id,natural_language_entity,ifc_entity_occurrence,ifc_entity_type,property_set,property_name,required_stage,requirement_type,allowed_values,disallowed_values,flagged_value,severity,enabled
MRR_Actuator_SystemName_S4,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_System,SystemName,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Actuator_TagNumber_S5,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_Component,TagNumber,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Actuator_Uniclass_2015_S4,Actuator,IfcDistributionControlElement,IfcActuatorType,,Uniclass 2015,4,required,,,,FAIL,True
MRR_Actuator_WarrantyDescription_S5,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_Type,WarrantyDescription,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Actuator_WarrantyDurationLabor_S5,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_Type,WarrantyDurationLabor,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Actuator_WarrantyDurationParts_S5,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_Type,WarrantyDurationParts,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Actuator_WarrantyDurationUnit_S5,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_Type,WarrantyDurationUnit,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Actuator_WarrantyGuarantorLabor_S5,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_Type,WarrantyGuarantorLabor,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Actuator_WarrantyGuarantorParts_S5,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_Type,WarrantyGuarantorParts,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Actuator_WarrantyStartDate_S5,Actuator,IfcDistributionControlElement,IfcActuatorType,COBie_Component,WarrantyStartDate,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_AssetIdentifier_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Component,AssetIdentifier,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_AssetType_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,AssetType,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_BarCode_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Component,BarCode,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Air_Terminal_Space_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Component,Space,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_DurationUnit_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,DurationUnit,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_InputEnergy_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_TypeAttributes,InputEnergy,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_InputFlowrate_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_TypeAttributes,InputFlowrate,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_InputLoad_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_TypeAttributes,InputLoad,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_InputPressure_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_TypeAttributes,InputPressure,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_InstallationDate_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Component,InstallationDate,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Manufacturer_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,Manufacturer,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Material_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,Material,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Air_Terminal_ModelLabel_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,ModelLabel,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Air_Terminal_ModelReference_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,ModelReference,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Air_Terminal_NominalHeight_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,NominalHeight,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_NominalLength_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,NominalLength,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_NominalWidth_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,NominalWidth,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_OutputCooling_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_TypeAttributes,OutputCooling,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_OutputHeating_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_TypeAttributes,OutputHeating,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_OutputPressureDrop_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_TypeAttributes,OutputPressureDrop,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Quantity_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_TypeAttributes,Quantity,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_SerialNumber_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Component,SerialNumber,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Air_Terminal_ExpectedLife_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,ExpectedLife,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_SustainabilityPerformance_S7,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,SustainabilityPerformance,7,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_SystemCategory_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_System,SystemCategory,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_SystemDescription_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_System,SystemDescription,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_SystemName_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_System,SystemName,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_TagNumber_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Component,TagNumber,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Air_Terminal_Uniclass_2015_S4,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,,Uniclass 2015,4,required,,,,FAIL,True
MRR_Air_Terminal_WarrantyDescription_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,WarrantyDescription,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_WarrantyDurationLabor_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,WarrantyDurationLabor,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_WarrantyDurationParts_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,WarrantyDurationParts,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_WarrantyDurationUnit_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,WarrantyDurationUnit,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_WarrantyGuarantorLabor_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,WarrantyGuarantorLabor,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_WarrantyGuarantorParts_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Type,WarrantyGuarantorParts,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_WarrantyStartDate_S5,Air Terminal,IfcFlowTerminal,IfcAirTerminalType,COBie_Component,WarrantyStartDate,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_AssetType_S4,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,AssetType,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_Space_S4,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Component,Space,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_Manufacturer_S5,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,Manufacturer,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_Material_S5,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,Material,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Air_Terminal_Box_ModelLabel_S5,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,ModelLabel,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Air_Terminal_Box_NominalLength_S4,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,NominalLength,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_NominalWidth_S4,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,NominalWidth,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_Quantity_S4,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_TypeAttributes,Quantity,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_Uniclass_2015_S4,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,,Uniclass 2015,4,required,,,,FAIL,True
MRR_Air_Terminal_Box_WarrantyDurationLabor_S5,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,WarrantyDurationLabor,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_WarrantyDurationParts_S5,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,WarrantyDurationParts,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_WarrantyDurationUnit_S5,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,WarrantyDurationUnit,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_WarrantyGuarantorLabor_S5,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,WarrantyGuarantorLabor,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Air_Terminal_Box_WarrantyGuarantorParts_S5,Air Terminal Box,IfcFlowController,IfcAirTerminalBoxType,COBie_Type,WarrantyGuarantorParts,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Alarm_AssetIdentifier_S5,Alarm,IfcDistributionControlElement,IfcAlarmType,COBie_Component,AssetIdentifier,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Alarm_AssetType_S4,Alarm,IfcDistributionControlElement,IfcAlarmType,COBie_Type,AssetType,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Alarm_BarCode_S5,Alarm,IfcDistributionControlElement,IfcAlarmType,COBie_Component,BarCode,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",Provisional,WARN,True
MRR_Alarm_Space_S4,Alarm,IfcDistributionControlElement,IfcAlarmType,COBie_Component,Space,4,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Alarm_DurationUnit_S5,Alarm,IfcDistributionControlElement,IfcAlarmType,COBie_Type,DurationUnit,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Alarm_InstallationDate_S5,Alarm,IfcDistributionControlElement,IfcAlarmType,COBie_Component,InstallationDate,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
MRR_Alarm_Manufacturer_S5,Alarm,IfcDistributionControlElement,IfcAlarmType,COBie_Type,Manufacturer,5,required,,"To Be Confirmed, Not Applicable, tbc, n/a, Blank, Placeholder, Stage 4, Stage 4A, Stage 4B, Stage 4C, Stage 5, By Contractor, 0., 0.0",,FAIL,True
